Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KLF4,1428.746384,-1.944821538,0.37052535,-5.248821806,1.53E-07,5.90E-06
MAP1B,9646.068682,1.180554965,0.22504751,5.245803281,1.56E-07,5.99E-06
TINCR,23.96099032,-3.495458026,0.666821259,-5.241971483,1.59E-07,6.09E-06
RPL12P50,23.49924875,3.13070011,0.597255125,5.241813725,1.59E-07,6.09E-06
RPS7P3,44.97194221,2.638089531,0.503642345,5.238021701,1.62E-07,6.19E-06
CNGB3,34.7717676,-2.443251919,0.466468388,-5.237765257,1.63E-07,6.19E-06
ARHGAP11A,297.0258618,2.051394672,0.391670775,5.237548483,1.63E-07,6.19E-06
RNASE2,162.9238268,4.757638516,0.909203747,5.23275287,1.67E-07,6.35E-06
CMTM6,1529.540387,1.064372993,0.203424986,5.232262844,1.67E-07,6.35E-06
GALNT15,517.308545,3.44968037,0.659382746,5.231681281,1.68E-07,6.36E-06
LRRC37A14P,11.86034479,-3.935851858,0.754511723,-5.216422407,1.82E-07,6.86E-06
